,Rank,Bank name,Total assets (2023) (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,Industrial and Commercial Bank of China,6303.44,5042.75,6114.34,535792.4
1,2,Agricultural Bank of China,5623.12,4498.5,5454.43,477965.2
2,3,China Construction Bank,5400.28,4320.22,5238.27,459023.8
3,4,Bank of China,4578.28,3662.62,4440.93,389153.8
4,5,JPMorgan Chase,3875.39,3100.31,3759.13,329408.15
5,6,Bank of America,3180.15,2544.12,3084.75,270312.75
6,7,HSBC,2919.84,2335.87,2832.24,248186.4
7,8,BNP Paribas,2867.44,2293.95,2781.42,243732.4
8,9,Mitsubishi UFJ Financial Group,2816.77,2253.42,2732.27,239425.45
9,10,Crédit Agricole,2736.95,2189.56,2654.84,232640.75
10,11,Postal Savings Bank of China,2217.86,1774.29,2151.32,188518.1
11,12,Citigroup,2200.83,1760.66,2134.81,187070.55
12,13,SMBC Group,2027.34,1621.87,1966.52,172323.9
13,14,Banco Santander,1986.36,1589.09,1926.77,168840.6
14,15,Bank of Communications,1982.89,1586.31,1923.4,168545.65
15,16,Wells Fargo,1932.47,1545.98,1874.5,164259.95
16,17,Mizuho Financial Group,1923.56,1538.85,1865.85,163502.6
17,18,Barclays,1891.72,1513.38,1834.97,160796.2
18,19,Société Générale,1717.49,1373.99,1665.97,145986.65
19,20,UBS,1717.25,1373.8,1665.73,145966.25
20,21,Groupe BPCE,1706.8,1365.44,1655.6,145078.0
21,22,Goldman Sachs,1641.59,1313.27,1592.34,139535.15
22,23,Japan Post Bank,1625.6,1300.48,1576.83,138176.0
23,24,Royal Bank of Canada,1566.41,1253.13,1519.42,133144.85
24,25,China Merchants Bank,1555.3,1244.24,1508.64,132200.5
25,26,Deutsche Bank,1450.57,1160.46,1407.05,123298.45
26,27,Industrial Bank (China),1432.59,1146.07,1389.61,121770.15
27,28,Toronto-Dominion Bank,1428.29,1142.63,1385.44,121404.65
28,29,China CITIC Bank,1276.63,1021.3,1238.33,108513.55
29,30,Crédit Mutuel,1262.95,1010.36,1225.06,107350.75
30,31,Shanghai Pudong Development Bank,1207.18,965.74,1170.96,102610.3
31,32,Morgan Stanley,1193.69,954.95,1157.88,101463.65
32,33,Lloyds Banking Group,1122.76,898.21,1089.08,95434.6
33,34,China Minsheng Bank,1082.37,865.9,1049.9,92001.45
34,35,ING Group,1078.35,862.68,1046.0,91659.75
35,36,Intesa Sanpaolo,1066.74,853.39,1034.74,90672.9
